name,website,place_id,city,state
"Midland Concrete Co","http://chicagoconcretesolutions.com/","ChIJwV-kfhUpDogRwNAYBoYFqDM","Chicago","IL"
"XPS Xpress - Dallas Epoxy Floor Store","http://xpsxpressdallas.com/","ChIJTR6pvxQXTIYRqT-89dyTNX0","Dallas","TX"
"Guardian Garage Floors","https://www.guardiangarage.com/","ChIJ79fuqBIpTIYRAufTg0Psn_w","Dallas","TX"
"Diamond Cut Garage Floors","http://www.diamondcutgaragefloors.com/","ChIJtfVcjyM6TIYRyIhehgjc_h0","Dallas","TX"
"Classic Concrete Coatings","https://www.dfwclassiccoatings.com/","ChIJHdxwxJkZTIYRPRiINk6aJyY","Dallas","TX"
"Dallas Epoxy Pros","http://www.dallasepoxypros.com/","ChIJuwRPHmQPTIYRy0_LYMAazxQ","Dallas","TX"
"Epoxy Floors Texas","https://www.epoxyfloorstexas.com/contact-us/","ChIJAQAwqrYsR4YRel8Gslm8p3A","Dallas","TX"
"Greathouse Custom Epoxy","https://greathousecustomepoxy.com/","ChIJWcy-N3jLTYYRc0UganyrbRA","Dallas","TX"
"FDC Coatings","https://www.fdccoatings.com/","ChIJgTUFEX8tTIYReo2H4cNszvw","Dallas","TX"
"The Garage Floor Company Arizona","https://www.thegaragefloorco.com/phoenix-az/#/","ChIJ5WRF_2KxK4cR3E1B4tYcIho","Phoenix","AZ"
"Quick Response Floor Coatings","https://www.quickresponsefloorcoatings.com/?utm_source=google&utm_medium=organic&utm_campaign=gmb","ChIJP0G30AJvK4cRONR9vy5qd0I","Phoenix","AZ"
"Galaxy Concrete Coatings of Phoenix","https://www.galaxyconcretecoatings.com/arizona/phoenix/?utm_source=GMB-Phoenix&utm_medium=organic","ChIJ2RBDeQUJK4cRLfxLdYx0cbY","Phoenix","AZ"
"East Valley Floor Coatings LLC","http://eastvalleyfloorcoatings.com/","ChIJRXTakjqvK4cRUuPDz0XZIcI","Phoenix","AZ"
"Armor-Kote Garage Floors","https://envymygarage.com/?utm_source=google&utm_medium=organic&utm_campaign=gbp","ChIJXeqCntgOK4cRNnZhYvogkvM","Phoenix","AZ"
"Your Garage Cave LLC","https://www.yourgaragecave.com/","ChIJ2-l_OCNdK4cRwS47SoMVFws","Phoenix","AZ"
"E2U Store Phoenix","https://phoenix.e2u.com/","ChIJm8-ZdUEPK4cRRlkDD0zRTyA","Phoenix","AZ"
"Valley Concrete Coatings and Polishing","https://www.thevalleycoatings.com/","ChIJYVUBT2NPWK8Rec6ioXgezxM","Phoenix","AZ"
"E2U Corporate & Manufacturing","http://e2u.com/","ChIJnVEQz3PW3IARutBnWwn8nnM","Phoenix","AZ"
"PolyXtreme Coatings","https://polyxtremecoatings.com/","ChIJBbDJbkivny4ROBhuUrxgi-k","Phoenix","AZ"
"Garage Flooring 2Day","https://www.garageflooring2day.com/","ChIJPYCEIFp5EmYRCCjG1GxEv7M","Phoenix","AZ"
"Atlantic Concrete Coatings Inc","https://www.atlanticconcretecoatings.com/","ChIJUSac3CRvK4cRwlYvhUQ5ekA","Phoenix","AZ"
"Viking Concrete Coating","https://www.vikingconcretecoating.com/","ChIJlzHDVvl1K4cRuUBjEkAYW0k","Phoenix","AZ"
"Prestige Protective Coatings","https://prestigeprotectivecoatings.com/","ChIJE-ja9VVvK4cRW9mobPiX4qM","Phoenix","AZ"
"Casper's Concrete Contractors","https://phoenixconcreting.com/","ChIJ9cGZ6p1zK4cRqqn3i1YRNuQ","Phoenix","AZ"
"Iron Seal Coatings","https://ironsealcoatings.com/?utm_campaign=gmb&utm_medium=gmb&utm_source=google","ChIJvRQXtpN6E0YRHaN0tW3Vseo","Phoenix","AZ"
"Epoxy Floors Houston","https://www.epoxyfloorshouston.com/","ChIJfbe6GiMoR4YRafoggURjZqo","Houston","TX"
"Epoxy Technology Coatings E-TECH","https://epoxytechhouston.com/","ChIJny2rZlAhQYYR8Ln_sFYNMzY","Houston","TX"
"Epoxy Garage Floors Montgomery","https://epoxy-garage-floor.com/","ChIJE7e0auQjR4YRCI8aoS_J8yc","Houston","TX"
"GS Epoxy","https://gsepoxy.com/","ChIJZ1aEVd4nQYYRIQXA8gOtlbI","Houston","TX"
"Xpedite Coatings Since 2008","https://xpeditecoatings.com/","ChIJp3jQzkjEQIYRMmBzOWqHxnI","Houston","TX"
"Floortek Concrete Coatings","https://floortekcoatings.com/","ChIJYRPVwwfRQIYRdnj8XQb6FD0","Houston","TX"
"Resilient Concrete Coatings","https://www.resconcretecoatings.com/?utm_source=google&utm_medium=organic&utm_campaign=listing","ChIJgyQoHOQQw2cR6jT-V_Rl87Y","Houston","TX"
"Specialty Concrete Coatings of Texas","http://www.sccot.net/","ChIJQ4DrhRjRQIYRek-N4r5UUH0","Houston","TX"
"SUNDEK of Houston","https://www.sundekhouston.com/","ChIJ6YAN7XfXQIYRlXuuUByqxS4","Houston","TX"
"Suncoat of Texas LLC","https://suncoatoftexas.com/","ChIJH1pGKtDERIYRyuhHTf9hV8A","Houston","TX"
"Superior Epoxy Coatings","https://epoxyall.com/","ChIJ_S9C2jJlhYARxz_I4E3rjJ8","San Francisco","CA"
"Bay Area Epoxy, Waterproofing & Roofing Supplies","https://bayareaepoxywholesale.com/","ChIJpzZxbeSRj4AR88GOtGn-Vdw","San Francisco","CA"
"Epoxy Plus","https://epoxy.plus/","ChIJ2XxuLBzzj4ARVGTKXZPfygk","San Francisco","CA"
"San Jose Epoxy","https://www.sanjoseepoxy.com/","ChIJR1vaNsWck4URt778vD_XKpY","San Francisco","CA"
"Property Channel Flooring","https://www.propertychannelflooring.com/","ChIJGREUUzOD-SERtSVT7kc6dvg","San Francisco","CA"
"Ross Concrete Coatings, a division of Ross Painting","https://www.rossconcretecoatings.com/","ChIJ9x-w4gVx7w0Rl-TofYS3aX0","San Francisco","CA"
"West Coast Epoxy","https://westcoastepoxy.com/","ChIJoVqnEOffmoAR3EIlPJrr22k","San Francisco","CA"
"California Custom Coatings","https://californiacustomcoatings.com/","ChIJZwWy7HXdmoARo2LzwPLAoO8","San Francisco","CA"
"Kingdom Concrete San Francisco","https://www.kingdomconcretesf.com/","ChIJZyMy3fJ_j4ARBeD_QWv56W4","San Francisco","CA"
"The Crew Concrete & Masonry","http://www.thecrewservices.com/The-Crew-Concrete-Masonry-San-Francisco.html","ChIJIzqk4_d9j4ARnUaXVuZxqAU","San Francisco","CA"
"Liquid Coating Designs, Inc.","http://www.liquidcoatingdesigns.com/","ChIJwYQFkwfpj4AR6Ft0d9_TACQ","San Francisco","CA"
"Ultra Construction","https://ultraconstructionsf.com/","ChIJFVokz1N5j4ARxt7hiedao7g","San Francisco","CA"
"Decorative Concrete Restoration","https://decorativeconcreterestorations.com/","ChIJG6YhbZ-Vj4AR5AHASk3Hctg","San Francisco","CA"
"Concrete Polishing & Epoxy Flooring-Stellar Surfaces","http://www.stelr.com/?utm_source=google&utm_medium=organic&utm_campaign=gbp-listing","ChIJMdctaBQh3YAR1vl5AdfkoKk","Santa Ana","CA"
"ASTC POLYMERS","https://astcpolymers.com/?utm_source=google&utm_medium=gbp&utm_campaign=gbp","ChIJsfLz3bzY3IARuaiSfd39wNw","Santa Ana","CA"
"Good Construction Services","http://www.goodconstructionservices.com/","ChIJcVd6phff3IAR_IiR_lmQ6R4","Santa Ana","CA"
"Bulldog Garage Products","http://www.bulldoggarageproducts.com/","ChIJi_yMLpPp3IAR-nAGnn7RvGk","Santa Ana","CA"
"Floor & Decor","https://www.flooranddecor.com/store/santa_ana/CA/92705/129?utm_source=gmb&utm_medium=organic&utm_campaign=dsg_santa_ana","ChIJ8en-jbPe3IARRcMYQOJfSc4","Santa Ana","CA"
"U.S. Resin Supply - Anaheim, California","https://usresinsupply.com/","ChIJO5hf06PX3IARfEyPbpo4UW0","Santa Ana","CA"
"Only Wood Floors / Refinish Wood Floors","http://www.onlywoodfloors.net/","ChIJPfhp66fX3IAR-NpFYLtTuBM","Santa Ana","CA"
"EverLine Coatings and Services - Irvine and Orange County","https://everlinecoatings.com/us/ca/irvine/?utm_source=GMBlisting&utm_medium=organic","ChIJmRB9X9wnYYIRx3_rarpkeDM","Santa Ana","CA"
"Concrete Coating Specialists, Inc.","http://www.sandiegodecorativeconcrete.com/","ChIJMWoAvpn_24AR3DGprz5KZL4","Santa Ana","CA"
"Concrete Placement Inc.","https://concreteplacementinc.com/","ChIJC_qV2QzZ3IARUSMlVnBeJHI","Santa Ana","CA"
"Coatings Hub NorCal","https://coatingshubnorcal.com/","ChIJVVWVLHzMj4AR0WG00MKYHWQ","San Jose","CA"
"Heavenly Touch Stone Care","https://heavenlytouchstonecare.com/","ChIJHZ-BzbQvjoARg4UXDyN6gHA","San Jose","CA"
"Exclusive Resins - Epoxy Supply and Installation","https://exclusiveresins.com/","ChIJk-B8yv88e4oRgkD9FXBiUpk","San Jose","CA"
"VM FLOORING","https://vmflooringandmore.com/","ChIJ05qtQurKj4ARPMjjKgH2oJo","San Jose","CA"
"Garage Lions","https://www.garagelions.com/","ChIJlVf_wtTLj4ARAzGTV4m7_W8","San Jose","CA"
